,bill_id,alternate_bill_id,bill_name,bill_text_url,bill_summary,bill_sponsors,action_on_branch,action_date,action_text,Category
876,H869,,Design-Build Clarifications.,https://www.ncleg.gov/sessions/2019/bills/house/html/H869v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/869/2019-2020%20Session/H869,"Dean Arp; Steve Jarvis; Howard J. Hunter, III",S,6/14/2019,"Re-ref to Agriculture/Environment/Natural Resources. If fav, re-ref to Rules and Operations of the Senate",Agriculture
356,H40,,NC Folk Festival Funds.,https://www.ncleg.gov/sessions/2019/bills/house/html/H40v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/40/2019-2020%20Session/H40,"Jon Hardister; John Faircloth; Amos L. Quick, III; Pricey Harrison; Cecil Brockman; Deb Butler; Ashton Wheeler Clemmons; Kevin Corbin; Howard J. Hunter, III; Graig R. Meyer; Joe Sam Queen; David Rogers",H,2/20/2019,"Re-ref Com On Appropriations, Agriculture and Natural and Economic Resources",Agriculture
521,H549,S456,Matching Funds for Affordable Housing.,https://www.ncleg.gov/sessions/2019/bills/house/html/H549v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/549/2019-2020%20Session/H549,"Chaz Beasley; Jon Hardister; Gale Adcock; John Ager; John Autry; Cynthia Ball; Mary Belk; MaryAnn Black; Cecil Brockman; Deb Butler; Becky Carney; Ashton Wheeler Clemmons; Allison A. Dahle; Jean Farmer-Butterfield; Susan C. Fisher; Elmer Floyd; James D. Gailliard; Terry E. Garrison; Rosa U. Gill; Charles Graham; Pricey Harrison; Zack Hawkins; Yvonne Lewis Holley; Verla Insko; Joe John; Carolyn G. Logan; Marvin W. Lucas; Nasif Majeed; Derwin L. Montgomery; Garland E. Pierce; Robert T. Reives, II; C. Ray Russell; Kandie D. Smith; Shelly Willingham; Michael H. Wray",H,4/3/2019,"Ref to the Com on Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
455,H49,,Responsible Deer Management Act.,https://www.ncleg.gov/sessions/2019/bills/house/html/H49v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/49/2019-2020%20Session/H49,Larry G. Pittman; Wayne Sasser; Susan C. Fisher; Pricey Harrison,H,3/12/2019,Re-ref Com On Agriculture,Agriculture
1208,S268,H373,Ag Disaster Fund/Excessive Rain & Flooding.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S268v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/268/2019-2020%20Session/S268,Chuck Edwards; Carl Ford; Jim Perry; Bob Steinburg,S,3/19/2019,"Re-ref to Agriculture/Environment/Natural Resources. If fav, re-ref to Rules and Operations of the Senate",Agriculture
861,H855,S663,Agricultural Relief Act.,https://www.ncleg.gov/sessions/2019/bills/house/html/H855v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/855/2019-2020%20Session/H855,"Raymond E. Smith, Jr.; Nasif Majeed; Kandie D. Smith; John Ager; Allison A. Dahle; Susan C. Fisher; Pricey Harrison; Rachel Hunt; Carolyn G. Logan",H,4/18/2019,"Ref to the Com on Agriculture, if favorable, Finance, if favorable, Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
1563,S588,,Fast-Track Nondischarge Permitting.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S588v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/588/2019-2020%20Session/S588,Rick Gunn; Tom McInnis,S,4/4/2019,"Re-ref to Agriculture/Environment/Natural Resources. If fav, re-ref to Rules and Operations of the Senate",Agriculture
881,H873,,System Development Fee/Clarify Time of Charge.,https://www.ncleg.gov/sessions/2019/bills/house/html/H873v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/873/2019-2020%20Session/H873,"Dean Arp; James L. Boles, Jr.; Allen McNeill",S,6/6/2019,"Re-ref to Agriculture/Environment/Natural Resources. If fav, re-ref to Finance. If fav, re-ref to Rules and Operations of the Senate",Agriculture
424,H461,,Funds for Fort Fisher Aquarium.,https://www.ncleg.gov/sessions/2019/bills/house/html/H461v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/461/2019-2020%20Session/H461,"Ted Davis, Jr.; Pat McElraft; John Autry; Cynthia Ball; Deb Butler; Holly Grange; Pricey Harrison; Larry G. Pittman; Amos L. Quick, III; Carson Smith; Larry C. Strickland; Donna McDowell White",H,5/22/2019,"Re-ref Com On Appropriations, Agriculture and Natural and Economic Resources",Agriculture
9,H1006,,High Point Economic Development.,https://www.ncleg.gov/sessions/2019/bills/house/html/H1006v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/1006/2019-2020%20Session/H1006,"Cecil Brockman; Amos L. Quick, III; John Faircloth; Jon Hardister; John Autry; Pricey Harrison; Yvonne Lewis Holley",H,4/29/2019,"Ref to the Com on Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
303,H352,,Funding for Small Business Loans.,https://www.ncleg.gov/sessions/2019/bills/house/html/H352v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/352/2019-2020%20Session/H352,Pat McElraft; Elmer Floyd; Mary Belk; Jerry Carter; Allison A. Dahle; Jean Farmer-Butterfield; Susan C. Fisher; Terry E. Garrison; Charles Graham; Pricey Harrison; Zack Hawkins; Rachel Hunt; Verla Insko; Carolyn G. Logan; Marvin W. Lucas; Garland E. Pierce; Larry G. Pittman; Evelyn Terry,H,4/3/2019,"Re-ref Com On Appropriations, Agriculture and Natural and Economic Resources",Agriculture
973,H956,,Funds/Youth Villages and Other Purposes.,https://www.ncleg.gov/sessions/2019/bills/house/html/H956v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/956/2019-2020%20Session/H956,Jason Saine,H,4/26/2019,"Ref to the Com on Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
1599,S62,,Stormwater/Include Donated Land in Density.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S62v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/62/2019-2020%20Session/S62,Andy Wells,S,2/14/2019,"Re-ref to Agriculture/Environment/Natural Resources. If fav, re-ref to Rules and Operations of the Senate",Agriculture
1506,S536,H570,Water/Wastewater Public Enterprise Reform.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S536v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/536/2019-2020%20Session/S536,"Paul Newton; Danny Earl Britt, Jr.; Jim Burgin; Jim Davis; Chuck Edwards; Jim Perry; Norman W. Sanderson; Vickie Sawyer",S,4/9/2019,"Re-ref to Agriculture/Environment/Natural Resources. If fav, re-ref to Finance. If fav, re-ref to Rules and Operations of the Senate",Agriculture
364,H407,,Spindale Drainage.,https://www.ncleg.gov/sessions/2019/bills/house/html/H407v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/407/2019-2020%20Session/H407,David Rogers,H,6/12/2019,"Re-ref Com On Appropriations, Agriculture and Natural and Economic Resources",Agriculture
375,H417,S292,Food Commercialization Funds.,https://www.ncleg.gov/sessions/2019/bills/house/html/H417v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/417/2019-2020%20Session/H417,"Chris Humphrey; Kandie D. Smith; Gregory F. Murphy, MD; Zack Hawkins",H,3/21/2019,"Ref to the Com on State and Local Government, if favorable, Appropriations, Agriculture and Natural and Economic Resources, if favorable, Appropriations, if favorable, Rules, Calendar, and Operations of the House",Agriculture
619,H637,,Funds/Southeastern Ag. Events Center.,https://www.ncleg.gov/sessions/2019/bills/house/html/H637v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/637/2019-2020%20Session/H637,"Charles Graham; Allison A. Dahle; Pricey Harrison; Derwin L. Montgomery; Garland E. Pierce; Raymond E. Smith, Jr.",H,4/10/2019,"Ref to the Com on Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
326,H373,S268,Ag Disaster Fund/Excessive Rain & Flooding.,https://www.ncleg.gov/sessions/2019/bills/house/html/H373v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/373/2019-2020%20Session/H373,"Chuck McGrady; Cody Henson; John Ager; Cynthia Ball; Deb Butler; Carla D. Cunningham; Allison A. Dahle; Jean Farmer-Butterfield; Susan C. Fisher; Edward C. Goodwin; Charles Graham; Bobby Hanig; Pricey Harrison; Chris Humphrey; Rachel Hunt; Howard J. Hunter, III; Donny Lambeth; Carolyn G. Logan; Nasif Majeed; Marcia Morey; Garland E. Pierce; Larry G. Pittman; Amos L. Quick, III; Raymond E. Smith, Jr.; Donna McDowell White; Shelly Willingham; Michael H. Wray; Larry Yarborough",H,3/19/2019,"Ref to the Com on Agriculture, if favorable, Rules, Calendar, and Operations of the House",Agriculture
915,H903,,Study NC Ports/Manufacturing Supply Chain.,https://www.ncleg.gov/sessions/2019/bills/house/html/H903v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/903/2019-2020%20Session/H903,Holly Grange; Edward C. Goodwin; John A. Torbett; Kyle Hall; Deb Butler; Pricey Harrison; Chris Humphrey; Marcia Morey; John Szoka; Shelly Willingham; Michael H. Wray,H,4/22/2019,"Ref to the Com on Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
27,H103,,Small Dairy Sustainability Act.,https://www.ncleg.gov/sessions/2019/bills/house/html/H103v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/103/2019-2020%20Session/H103,"Michele D. Presnell; Jon Hardister; John Ager; Pricey Harrison; Jay Adams; MaryAnn Black; Deb Butler; Allison A. Dahle; Susan C. Fisher; Edward C. Goodwin; Charles Graham; Bobby Hanig; Verla Insko; Marvin W. Lucas; Marcia Morey; Robert T. Reives, II; Dennis Riddell; Wayne Sasser",H,2/27/2019,"Re-ref to the Com on Agriculture, if favorable, Health, if favorable, Rules, Calendar, and Operations of the House",Agriculture
604,H623,,Funds for Texfi Remediation Pilot.,https://www.ncleg.gov/sessions/2019/bills/house/html/H623v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/623/2019-2020%20Session/H623,"John Szoka; William D. Brisson; Holly Grange; Ted Davis, Jr.; Elmer Floyd; Pricey Harrison; Marvin W. Lucas",H,4/8/2019,"Ref to the Com on Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
543,H569,S591,One NC Funding for Small Businesses.,https://www.ncleg.gov/sessions/2019/bills/house/html/H569v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/569/2019-2020%20Session/H569,"Kyle Hall; Stephen M. Ross; Josh Dobson; Gale Adcock; John Ager; Cynthia Ball; Deb Butler; Jean Farmer-Butterfield; Charles Graham; Zack Hawkins; Chris Humphrey; Carolyn G. Logan; Garland E. Pierce; Joe Sam Queen; Raymond E. Smith, Jr.; Larry C. Strickland; Brian Turner; Donna McDowell White; Shelly Willingham; Michael H. Wray",H,4/4/2019,"Ref to the Com on Commerce, if favorable, Appropriations, Agriculture and Natural and Economic Resources, if favorable, Rules, Calendar, and Operations of the House",Agriculture
400,H44,,Fort Fisher Historic Site Funds.,https://www.ncleg.gov/sessions/2019/bills/house/html/H44v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/44/2019-2020%20Session/H44,"Ted Davis, Jr.; Deb Butler; Donny Lambeth",H,2/27/2019,"Re-ref Com On Appropriations, Agriculture and Natural and Economic Resources",Agriculture
53,H127,S77,Ag Disaster Fund/Certain Counties.,https://www.ncleg.gov/sessions/2019/bills/house/html/H127v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/127/2019-2020%20Session/H127,"Jeffrey Elmore; Rena W. Turner; John A. Fraley; Sarah Stevens; John Ager; Lisa Stone Barnes; Deb Butler; Jimmy Dixon; John Faircloth; Charles Graham; Bobby Hanig; Yvonne Lewis Holley; Robert T. Reives, II; Wayne Sasser; Michael H. Wray",H,2/21/2019,"Ref to the Com on Agriculture, if favorable, State and Local Government, if favorable, Rules, Calendar, and Operations of the House",Agriculture
283,H334,,NCSU Honey Bee Laboratory/Funds.,https://www.ncleg.gov/sessions/2019/bills/house/html/H334v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/334/2019-2020%20Session/H334,"Chuck McGrady; Mitchell S. Setzer; Pricey Harrison; John Ager; Gale Adcock; John Autry; Deb Butler; Kevin Corbin; Allison A. Dahle; Susan C. Fisher; Elmer Floyd; Terry E. Garrison; Edward C. Goodwin; Charles Graham; Zack Hawkins; Yvonne Lewis Holley; Verla Insko; Joe John; Marvin W. Lucas; Nasif Majeed; Grier Martin; Graig R. Meyer; Robert T. Reives, II; Wayne Sasser; Larry C. Strickland; John Szoka; Julie von Haefen; Donna McDowell White; Michael H. Wray",H,3/13/2019,"Ref to the Com on Agriculture, if favorable, Appropriations, Agriculture and Natural and Economic Resources, if favorable, Appropriations, if favorable, Rules, Calendar, and Operations of the House",Agriculture
305,H354,H313,Modify Weighting/School Performance Grades.,https://www.ncleg.gov/sessions/2019/bills/house/html/H354v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/H/354/2019-2020%20Session/H354,"D. Craig Horn; Linda P. Johnson; Rosa U. Gill; Marvin W. Lucas; Mary Belk; Ashton Wheeler Clemmons; Carla D. Cunningham; Susan C. Fisher; Elmer Floyd; Terry E. Garrison; Pricey Harrison; Rachel Hunt; Graig R. Meyer; Garland E. Pierce; Amos L. Quick, III; Dennis Riddell; David Rogers; Julie von Haefen; Michael H. Wray",S,6/19/2019,"Re-ref to Education/Higher Education. If fav, re-ref to Rules and Operations of the Senate",Education
1238,S295,,Standards of Student Conduct.,https://www.ncleg.gov/sessions/2019/bills/senate/html/S295v1.html,https://lrs.sog.unc.edu/bill-summaries-lookup/S/295/2019-2020%20Session/S295,Jerry W. Tillman; Jim Burgin; Todd Johnson; Tom McInnis; Gladys A. Robinson; Erica D. Smith,S,8/13/2019,Re-ref Com On Education/Higher Education,Education
